city,pollutant,year,expected_hours,rows_in_file,non_null_readings,pct_missing,min_value,max_value,n_impossible,pct_impossible_of_readings
Hyderabad,NO2,2020,4369,4369,4369,0.0,9.75,97.53,0,0.0
Hyderabad,NOx,2015,8674,8674,8505,1.95,1.21,403.82,0,0.0
Hyderabad,NOx,2016,8784,8784,8537,2.81,0.0,211.62,0,0.0
Hyderabad,NOx,2017,8760,8760,8724,0.41,0.0,214.32,0,0.0
Hyderabad,NOx,2018,8760,8760,8756,0.05,4.98,138.21,0,0.0
Hyderabad,NOx,2019,8760,8760,8760,0.0,2.83,101.42,0,0.0
Hyderabad,NOx,2020,4369,4369,4369,0.0,6.11,108.82,0,0.0
Hyderabad,O3,2015,8674,8674,8381,3.38,0.01,156.01,0,0.0
Hyderabad,O3,2016,8784,8784,7868,10.43,0.03,179.1,0,0.0
Hyderabad,O3,2017,8760,8760,8485,3.14,0.25,193.05,0,0.0
Hyderabad,O3,2018,8760,8760,8756,0.05,2.3,117.77,0,0.0
Hyderabad,O3,2019,8760,8760,8760,0.0,2.69,117.19,0,0.0
Hyderabad,O3,2020,4369,4369,4369,0.0,5.99,75.57,0,0.0
Hyderabad,PM10,2015,8674,8674,2280,73.71,9.0,149.0,0,0.0
Hyderabad,PM10,2016,8784,8784,5942,32.35,1.0,149.0,0,0.0
Hyderabad,PM10,2017,8760,8760,8479,3.21,3.0,547.75,0,0.0
Hyderabad,PM10,2018,8760,8760,8756,0.05,3.67,244.1,0,0.0
Hyderabad,PM10,2019,8760,8760,8760,0.0,7.33,185.25,0,0.0
Hyderabad,PM10,2020,4369,4369,4369,0.0,8.58,180.45,0,0.0
Hyderabad,PM2.5,2015,8674,8674,6468,25.43,6.0,995.0,0,0.0
Hyderabad,PM2.5,2016,8784,8784,7650,12.91,0.1,995.0,0,0.0
Hyderabad,PM2.5,2017,8760,8760,8504,2.92,0.25,310.25,0,0.0
Hyderabad,PM2.5,2018,8760,8760,8756,0.05,3.56,88.29,0,0.0
Hyderabad,PM2.5,2019,8760,8760,8760,0.0,2.88,194.08,0,0.0
Hyderabad,PM2.5,2020,4369,4369,4369,0.0,4.79,106.25,0,0.0
